#Decision localisation;;;;;;;;;;;;;;
restore_rashids_title;Restore the House of Rasheed to the Arabian throne;Restaurer la dynastie des Al-Rasheed sur le trône d'Arabie;Restore the House of Rasheed to the Arabian throne;;;;;;;;;;;
gtfo_MKS_desc;We've had a good run, but it's time to end our rulership of Makassar.;;;;;;;;;;;;;
gtfo_TON_title;Grant Tondo Independence;;;;;;;;;;;;;
gtfo_TON_desc;We've had a good run, but it's time to end our rulership of Tondo.;;;;;;;;;;;;;
gtfo_MLD_title;Grant Maldives Independence;;;;;;;;;;;;;
gtfo_MLD_desc;We've had a good run, but it's time to end our rulership of Maldives.;;;;;;;;;;;;;
gtfo_PAT_title;Grant Pattani Independence;;;;;;;;;;;;;
gtfo_PAT_desc;We've had a good run, but it's time to end our rulership of Pattani.;;;;;;;;;;;;;
gtfo_PLM_title;Grant Palembang Independence;;;;;;;;;;;;;
gtfo_PLM_desc;We've had a good run, but it's time to end our rulership of Palembang.;;;;;;;;;;;;;
gtfo_ATJ_title;Grant Atjeh Independence;;;;;;;;;;;;;
gtfo_ATJ_desc;We've had a good run, but it's time to end our rulership of Atjeh.;;;;;;;;;;;;;
gtfo_BAL_title;Grant Bali Independence;;;;;;;;;;;;;
gtfo_BAL_desc;We've had a good run, but it's time to end our rulership of Bali.;;;;;;;;;;;;;
gtfo_BHU_title;Grant Bhutan Independence;;;;;;;;;;;;;
gtfo_BHU_desc;We've had a good run, but it's time to end our rulership of Bhutan.;;;;;;;;;;;;;
gtfo_BRU_title;Grant Brunei Independence;;;;;;;;;;;;;
gtfo_BRU_desc;We've had a good run, but it's time to end our rulership of Brunei.;;;;;;;;;;;;;
gtfo_BUR_title;Grant Taungu Independence;;;;;;;;;;;;;
gtfo_BUR_desc;We've had a good run, but it's time to end our rulership of Taungu.;;;;;;;;;;;;;
gtfo_CAM_title;Grant the Khmer Empire Independence;;;;;;;;;;;;;
gtfo_CAM_desc;We've had a good run, but it's time to end our rulership of the Khmer Empire.;;;;;;;;;;;;;
gtfo_DAI_title;Grant Dai Nam Independence;;;;;;;;;;;;;
gtfo_DAI_desc;We've had a good run, but it's time to end our rulership of Dai Nam.;;;;;;;;;;;;;
gtfo_JAV_title;Grant Java Independence;;;;;;;;;;;;;
gtfo_JAV_desc;We've had a good run, but it's time to end our rulership of Java.;;;;;;;;;;;;;
gtfo_KOR_title;Grant Korea Independence;;;;;;;;;;;;;
gtfo_KOR_desc;We've had a good run, but it's time to end our rulership of Korea.;;;;;;;;;;;;;
gtfo_LUA_title;Grant Lan Xang Independence;;;;;;;;;;;;;
gtfo_LUA_desc;We've had a good run, but it's time to end our rulership of Lan Xang.;;;;;;;;;;;;;
gtfo_JOH_title;Grant Malacca Independence;;;;;;;;;;;;;
gtfo_JOH_desc;We've had a good run, but it's time to end our rulership of Malacca.;;;;;;;;;;;;;
gtfo_SIA_title;Grant Thonburi Independence;;;;;;;;;;;;;
gtfo_SIA_desc;We've had a good run, but it's time to end our rulership of Thonburi.;;;;;;;;;;;;;
gtfo_TIB_title;Grant Tibet Independence;;;;;;;;;;;;;
gtfo_TIB_desc;We've had a good run, but it's time to end our rulership of Tibet.;;;;;;;;;;;;;
gtfo_MGL_title;Grant Mongolia Independence;;;;;;;;;;;;;
gtfo_MGL_desc;We've had a good run, but it's time to end our rulership of Mongolia.;;;;;;;;;;;;;
gtfo_XBI_title;Grant Tangut Independence;;;;;;;;;;;;;
gtfo_XBI_desc;We've had a good run, but it's time to end our rulership of Tangut.;;;;;;;;;;;;;
gtfo_NUS_title;Grant Nusantara Independence;;;;;;;;;;;;;
gtfo_NUS_desc;We've had a good run, but it's time to end our rulership of Nusantara.;;;;;;;;;;;;;
gtfo_MUG_title;Grant Mughal Empire Independence;;;;;;;;;;;;;
gtfo_MUG_desc;We've had a good run, but it's time to end our rulership of Mughal Empire.;;;;;;;;;;;;;
gtfo_IND_title;Grant Indonesia Independence;;;;;;;;;;;;;
gtfo_IND_desc;We've had a good run, but it's time to end our rulership of Indonesia.;;;;;;;;;;;;;
gtfo_CHR_title;Grant Christiania Independence;;;;;;;;;;;;;
gtfo_CHR_desc;We've had a good run, but it's time to end our rulership of Christiania.;;;;;;;;;;;;;
gtfo_AOT_title;Grant Aotearoa Independence;;;;;;;;;;;;;
gtfo_AOT_desc;We've had a good run, but it's time to end our rulership of Aotearoa.;;;;;;;;;;;;;
gtfo_PLC_title;Grant the Commonwealth Independence;;;;;;;;;;;;;
gtfo_PLC_desc;We've had a good run, but it's time to end our rulership of the Commonwealth.;;;;;;;;;;;;;
gtfo_UBD_title;Grant New Courland Independence;;;;;;;;;;;;;
gtfo_UBD_desc;We've had a good run, but it's time to end our rulership of New Courland.;;;;;;;;;;;;;
gtfo_FIN_title;Grant Finland Independence;;;;;;;;;;;;;
gtfo_FIN_desc;We've had a good run, but it's time to end our rulership of Finland.;;;;;;;;;;;;;
gtfo_SCA_title;Grant Scandinavia Independence;;;;;;;;;;;;;
gtfo_SCA_desc;We've had a good run, but it's time to end our rulership of Scandinavia.;;;;;;;;;;;;;
gtfo_ICL_title;Grant Iceland Independence;;;;;;;;;;;;;
gtfo_ICL_desc;We've had a good run, but it's time to end our rulership of Iceland.;;;;;;;;;;;;;
gtfo_ANI_title;Grant Anishinabe Independence;;;;;;;;;;;;;
gtfo_ANI_desc;We've had a good run, but it's time to end our rulership of Anishinabe.;;;;;;;;;;;;;
gtfo_ATS_title;Grant Athesia Independence;;;;;;;;;;;;;
gtfo_ATS_desc;We've had a good run, but it's time to end our rulership of Athesia.;;;;;;;;;;;;;
gtfo_AZT_title;Grant Aztlan Independence;;;;;;;;;;;;;
gtfo_AZT_desc;We've had a good run, but it's time to end our rulership of Aztlan.;;;;;;;;;;;;;
gtfo_CHE_title;Grant Tsalagihi Ayeli Independence;;;;;;;;;;;;;
gtfo_CHE_desc;We've had a good run, but it's time to end our rulership of Tsalagihi Ayeli.;;;;;;;;;;;;;
gtfo_CUB_title;Grant Kuba Independence;;;;;;;;;;;;;
gtfo_CUB_desc;We've had a good run, but it's time to end our rulership of Kuba.;;;;;;;;;;;;;
gtfo_DIN_title;Grant Dine Bikeyah Independence;;;;;;;;;;;;;
gtfo_DIN_desc;We've had a good run, but it's time to end our rulership of Dine Bikeyah.;;;;;;;;;;;;;
gtfo_DNG_title;Grant Qingqiu Independence;;;;;;;;;;;;;
gtfo_DNG_desc;We've had a good run, but it's time to end our rulership of Qingqiu.;;;;;;;;;;;;;
gtfo_ELS_title;Grant San Salvador Independence;;;;;;;;;;;;;
gtfo_ELS_desc;We've had a good run, but it's time to end our rulership of San Salvador.;;;;;;;;;;;;;
gtfo_HAW_title;Grant Hawaii Independence;;;;;;;;;;;;;
gtfo_HAW_desc;We've had a good run, but it's time to end our rulership of Hawaii.;;;;;;;;;;;;;
gtfo_HHR_title;Grant Rohnnst Independence;;;;;;;;;;;;;
gtfo_HHR_desc;We've had a good run, but it's time to end our rulership of Rohnnst.;;;;;;;;;;;;;
gtfo_IRO_title;Grant Haudenosaunee Independence;;;;;;;;;;;;;
gtfo_IRO_desc;We've had a good run, but it's time to end our rulership of Haudenosaunee.;;;;;;;;;;;;;
gtfo_JAM_title;Grant Eendrachtsland Independence;;;;;;;;;;;;;
gtfo_JAM_desc;We've had a good run, but it's time to end our rulership of Eendrachtsland.;;;;;;;;;;;;;
gtfo_JLS_title;Grant Jalisco Independence;;;;;;;;;;;;;
gtfo_JLS_desc;We've had a good run, but it's time to end our rulership of Jalisco.;;;;;;;;;;;;;
gtfo_LST_title;Grant Lusitania Independence;;;;;;;;;;;;;
gtfo_LST_desc;We've had a good run, but it's time to end our rulership of Lusitania.;;;;;;;;;;;;;
gtfo_MEX_title;Grant Mexico Independence;;;;;;;;;;;;;
gtfo_MEX_desc;We've had a good run, but it's time to end our rulership of Mexico.;;;;;;;;;;;;;
gtfo_NBG_title;Grant the Belgian Confederacy Independence;;;;;;;;;;;;;
gtfo_NBG_desc;We've had a good run, but it's time to end our rulership of the Belgian Confederacy.;;;;;;;;;;;;;
gtfo_NIC_title;Grant Matacalpa Independence;;;;;;;;;;;;;
gtfo_NIC_desc;We've had a good run, but it's time to end our rulership of Matacalpa.;;;;;;;;;;;;;
gtfo_NUN_title;Grant Nunavut Independence;;;;;;;;;;;;;
gtfo_NUN_desc;We've had a good run, but it's time to end our rulership of Nunavut.;;;;;;;;;;;;;
gtfo_PNM_title;Grant Andagoya Independence;;;;;;;;;;;;;
gtfo_PNM_desc;We've had a good run, but it's time to end our rulership of Andagoya.;;;;;;;;;;;;;
gtfo_OCE_title;Grant Oceti Sakowin Independence;;;;;;;;;;;;;
gtfo_OCE_desc;We've had a good run, but it's time to end our rulership of Oceti Sakowin.;;;;;;;;;;;;;
gtfo_PLA_title;Grant Plantagenia Independence;;;;;;;;;;;;;
gtfo_PLA_desc;We've had a good run, but it's time to end our rulership of Plantagenia.;;;;;;;;;;;;;
gtfo_PUR_title;Grant Purepecha Independence;;;;;;;;;;;;;
gtfo_PUR_desc;We've had a good run, but it's time to end our rulership of Purepecha.;;;;;;;;;;;;;
gtfo_RAP_title;Grant Rapa Nui Independence;;;;;;;;;;;;;
gtfo_RAP_desc;We've had a good run, but it's time to end our rulership of Rapa Nui.;;;;;;;;;;;;;
gtfo_UCA_title;Grant the United Provinces of Salvador Independence;;;;;;;;;;;;;
gtfo_UCA_desc;We've had a good run, but it's time to end our rulership of the United Provinces of Salvador.;;;;;;;;;;;;;
gtfo_VIN_title;Grant Vinland Independence;;;;;;;;;;;;;
gtfo_VIN_desc;We've had a good run, but it's time to end our rulership of Vinland.;;;;;;;;;;;;;
gtfo_YUC_title;Grant Mayapan Independence;;;;;;;;;;;;;
gtfo_YUC_desc;We've had a good run, but it's time to end our rulership of Mayapan.;;;;;;;;;;;;;
gtfo_ZAP_title;Grant Oaxaca Independence;;;;;;;;;;;;;
gtfo_ZAP_desc;We've had a good run, but it's time to end our rulership of Oaxaca.;;;;;;;;;;;;;
gtfo_ATL_title;Grant Atlantia Independence;;;;;;;;;;;;;
gtfo_ATL_desc;We've had a good run, but it's time to end our rulership of Atlantia.;;;;;;;;;;;;;
gtfo_AMA_title;Grant Amazonie Independence;;;;;;;;;;;;;
gtfo_AMA_desc;We've had a good run, but it's time to end our rulership of Amazonie.;;;;;;;;;;;;;
gtfo_ARE_title;Grant Arequipa Independence;;;;;;;;;;;;;
gtfo_ARE_desc;We've had a good run, but it's time to end our rulership of Arequipa.;;;;;;;;;;;;;
gtfo_ARU_title;Grant Purumauca Independence;;;;;;;;;;;;;
gtfo_ARU_desc;We've had a good run, but it's time to end our rulership of Purumauca.;;;;;;;;;;;;;
gtfo_AVA_title;Grant Taragui Independence;;;;;;;;;;;;;
gtfo_AVA_desc;We've had a good run, but it's time to end our rulership of Taragui.;;;;;;;;;;;;;
gtfo_CAS_title;Grant Castilla Independence;;;;;;;;;;;;;
gtfo_CAS_desc;We've had a good run, but it's time to end our rulership of Castilla.;;;;;;;;;;;;;
gtfo_CRC_title;Grant Curacao Independence;;;;;;;;;;;;;
gtfo_CRC_desc;We've had a good run, but it's time to end our rulership of Curacao.;;;;;;;;;;;;;
gtfo_CLM_title;Grant Gran Colombia Independence;;;;;;;;;;;;;
gtfo_CLM_desc;We've had a good run, but it's time to end our rulership of Gran Colombia.;;;;;;;;;;;;;
gtfo_EQN_title;Grant Equinoxea Independence;;;;;;;;;;;;;
gtfo_EQN_desc;We've had a good run, but it's time to end our rulership of Equinoxea.;;;;;;;;;;;;;
gtfo_GRA_title;Grant Granada Independence;;;;;;;;;;;;;
gtfo_GRA_desc;We've had a good run, but it's time to end our rulership of Granada.;;;;;;;;;;;;;
gtfo_GUY_title;Grant Essequibo Independence;;;;;;;;;;;;;
gtfo_GUY_desc;We've had a good run, but it's time to end our rulership of Essequibo.;;;;;;;;;;;;;
gtfo_INC_title;Grant Tawantinsuyu Independence;;;;;;;;;;;;;
gtfo_INC_desc;We've had a good run, but it's time to end our rulership of Tawantinsuyu.;;;;;;;;;;;;;
gtfo_LOT_title;Grant Lotharingia Independence;;;;;;;;;;;;;
gtfo_LOT_desc;We've had a good run, but it's time to end our rulership of Lotharingia.;;;;;;;;;;;;;
gtfo_NAN_title;Grant Beornia Independence;;;;;;;;;;;;;
gtfo_NAN_desc;We've had a good run, but it's time to end our rulership of Beornia.;;;;;;;;;;;;;
gtfo_HBE_title;Grant the Holy Britannian Empire Independence;;;;;;;;;;;;;
gtfo_HBE_desc;We've had a good run, but it's time to end our rulership of the Holy Britannian Empire.;;;;;;;;;;;;;
gtfo_QUI_title;Grant Quito Independence;;;;;;;;;;;;;
gtfo_QUI_desc;We've had a good run, but it's time to end our rulership of Quito.;;;;;;;;;;;;;
gtfo_SAN_title;Grant Santanderia Independence;;;;;;;;;;;;;
gtfo_SAN_desc;We've had a good run, but it's time to end our rulership of Santanderia.;;;;;;;;;;;;;
gtfo_TAP_title;Grant Tapajos Independence;;;;;;;;;;;;;
gtfo_TAP_desc;We've had a good run, but it's time to end our rulership of Tapajos.;;;;;;;;;;;;;
gtfo_NZL_title;Grant New Zealand Independence;;;;;;;;;;;;;
gtfo_NZL_desc;We've had a good run, but it's time to end our rulership of New Zealand.;;;;;;;;;;;;;
gtfo_GAN_title;Grant Zhourao Independence;;;;;;;;;;;;;
gtfo_GAN_desc;We've had a good run, but it's time to end our rulership of Zhourao.;;;;;;;;;;;;;
gtfo_TUI_title;Grant the Tonga Federation Independence;;;;;;;;;;;;;
gtfo_TUI_desc;We've had a good run, but it's time to end our rulership of the Tonga Federation.;;;;;;;;;;;;;
gtfo_PPU_title;Grant Papua Independence;;;;;;;;;;;;;
gtfo_PPU_desc;We've had a good run, but it's time to end our rulership of Papua.;;;;;;;;;;;;;
become_protector_NEJ_title;Claim the title of Caliph;Prendre le titre de Calife;Claim the title of Caliph;;;;;;;;;;;
become_protector_NEJ_desc;The Ottomans are no longer capable of defending the Holy Cities! We will claim this title and our rulers will protect Mecca and Medina for the glory of Allah!;Les Ottomans ne sont plus capables de défendre les villes saintes! Nous prendrons le titre de calife et nos rois protégerons la Mecque et Médine pour la plus grande gloire d'Allah!;The Ottomans are no longer capable of defending the Holy Cities! We will claim this title and our rulers will protect Mecca and Medina for the glory of Allah!;;;;;;;;;;;
restore_valois_italy_title;Restore our Rule over Italy;;;;;;;;;;;;;
restore_valois_italy_desc;After the defeat of the Valois dynasty in the Hundred Years' War and the following annexation of their holdings, Provence became their last stand. But thanks to the Valois effective marriage policy, they quickly established control over the Duchy of Tuscany and the County of Ferrara. This was seen as a disturbance of power balance not only by Guelphs and Ghibellines, but even by the Crown of Aragon. The following war between the Valois Coalition (Provence, Genoa, Tuscany, Ferrara) and the Alliance of Naples (Aragon, the Papal States, Milan) led to the end of the Valois expansion in Italy. As the result of the war, their Italian holdings were confiscated and their relatives were expelled from Italy. Also, the annexation of Corsica by Aragon led to its complete control over the West  Mediterranean trade and the beginning of the decline of the Genoan Republic.;;;;;;;;;;;;;
reclaim_occitania_title;Free Occitania;;;;;;;;;;;;;
reclaim_occitania_desc;Even now that we are king of Italy we can't forget our claims in France. Our state is the reunion of many cultures, the French and Occitan having the same rights than the Italians we have united. We can't establish a Dual-Monarchy of France-Italy for now but we could claim the Mediterranean provinces of the usurpers.;;;;;;;;;;;;;
renew_war_DUA_title;Challenge the Usurpers;;;;;;;;;;;;;
renew_war_DUA_desc;Occitania is under our complete control. The dream of expelling the Plantagenets from our homeland is closer than ever. Let us retake the lands of France and be recognized as the true kings OF France. Montjoie St-Denis !;;;;;;;;;;;;;
france_italy_title;Creation of the Dual-Monarchy;;;;;;;;;;;;;
france_italy_desc;The kingdom of France has been reclaimed. However we can't present us as the sole king of Italy or we will face unrest from the population. We can establish a Dual-Monarchy like the Plantagenets, ruling both French and Italians. Long live Transalpina.;;;;;;;;;;;;;
treaty_of_paris_title;Treaty of Paris;;;;;;;;;;;;;
treaty_of_paris_desc;Our control of France is complete. We can now force the usurpers to come to negotiations and cede all the territories of the mainland to the rightful King of France.;;;;;;;;;;;;;
challenge_usurpers_title;Renew the War of the French Throne;;;;;;;;;;;;;
challenge_usurpers_desc;After the defeat of the Valois dynasty in the Hundred Years' War and the following annexation of their holdings, Provence became their last stand. But thanks to our expansie efforts, Provence is now strong enough to stand strong against the English usurpers.;;;;;;;;;;;;;
reclaim_paris_PRV_title;Reclaim Paris;;;;;;;;;;;;;
reclaim_paris_PRV_desc;We have reclaimed Paris from the Plantagenets and can now make it our capital.;;;;;;;;;;;;;
reclaim_paris_DUA_title;Reclaim Paris;;;;;;;;;;;;;
reclaim_paris_DUA_desc;We have reclaimed Paris from the Valois and can now make it our capital.;;;;;;;;;;;;;
integrate_bretons_title;Integrate Bretons;;;;;;;;;;;;;
integrate_bretons_desc;While Bretons were not an integral part of the Capetian kingdom we have expelled the usurpers from this land nonetheless. We have a tradition of multiculturalism so it's normal to accept them too;;;;;;;;;;;;;
lucca_war_title;Pre-eminence in Etruria;;;;;;;;;;;;;
lucca_war_desc;The liberal republic of Etruria has been reduced to ashes with the King in France reclaiming his inheritance of Tuscany. But the duchy of Lucca has not accepted our renewed role in the area, proclaiming being freed from any feudal links toward us. While it is an obscure claim, we could always press it to strengthen our rule in Italy...;;;;;;;;;;;;;
holy_crown_HUN_title;The Crown of San Stefen;;;;;;;;;;;;;
holy_crown_HUN_desc;The Holy Crown of Hungary, the very embodiment of our state is in the hands of the Bohemian Kings who still like to pretend they are claimants to the throne. Alas for us no Hungarian King can be considered truly worthy of ruling until he has been crowned with the Holy Crown of Saint Stefen, first King of Hungary. Now we can ask the Emperor to give us back the Crown but it will likely come with demands…;;;;;;;;;;;;;
HUN_prague_title;Force the Bohemians to Surrender;;;;;;;;;;;;;
HUN_prague_desc;With Prague under our control we can retake the crown of Saint Stefan.;;;;;;;;;;;;;
BOH_buda_title;Force the Hungarians to Surrender;;;;;;;;;;;;;
BOH_buda_desc;With Budapest under our control we can force the Hungarians to concede defeat and return Slovakia to us.;;;;;;;;;;;;;
form_iberia_title;Propose an Iberian union;;;;;;;;;;;;;
form_iberia_desc;"Uniting Iberia was one of the ambitions of medieval monarchs of the Iberian peninsula. Sancho III of Navarre and Alfonso VII of León and Castile both took the title Imperator Totius Hispaniae, meaning ""Emperor of All Hispania"" centuries before. But with the rise of the Dual Monarchy in the East it was too dangerous for Castille to extend its territories and instead of the planned union with Aragon, the Kingdom of Hispania was created by merging the crowns of Castille and Portugal. With our control of the former Aragonese lands of Catalunya we can proclaim the Iberian Union. But the question is: Will the Catalans accept our rule?";;;;;;;;;;;;;
integrate_navarra_title;Unify with Navarra;;;;;;;;;;;;;
integrate_navarra_desc;To really become the Iberian Union we have to integrate the lands of the Basque people into our country;;;;;;;;;;;;;
integrate_catalans_title;Catalan acceptance;;;;;;;;;;;;;
integrate_catalans_desc;The Catalans nay have refused the unification at first but our important status in Europe has made them rethink about their previous actions;;;;;;;;;;;;;
emperor_of_india_title;The Empire of Indias;;;;;;;;;;;;;
emperor_of_india_desc;Our hold on Colombia is clearly a success. To raise our status among the European Powers and also in our colonies, we can crown our King, "Emperor de las Indias Occidentales" and thus give him a special place in the Royal Families of the Old Continent;;;;;;;;;;;;;
mancomunidad_de_naciones_title;Mancomunidad de las naciones Colombianas;;;;;;;;;;;;;
mancomunidad_de_naciones_desc;Liberalisation has changed our society and the king no longer holds the same power as his forefathers. Our Prime Minister has presented us with a new proposal : grant home-rule to the colonies and create a Commonwealth grouping the metropolis and its colonies while crowning the sovereign in each Colombian state. It will surely make Spain and Colombia enter a new age of cordial relations and democracy;;;;;;;;;;;;;
cusco_capital_title;Move Capital to Cusco;Déplacer la capitale à Cusco;Verlegt die Haptstadt nach Cusco;;;;;;;;;;;
cusco_capital_desc;Finally, we have taken back from the barbarian Westerners our imperial capital of Cusco! Let us establish their once more the capital of the glorious Inca realm.;Nous avons enfin repris notre capitale impériale des mains des barbares occidentaux! Réinstallons y à nouveau la capitale de la glorieuse nation inca.;Endlich haben wir unsere imperiale Hauptstadt Cusco wieder vor den westlichen Barbaren zurückerobert! Lasst uns ein weiteres mal die Hauptstadt des herrlichen Inka-Reiches dort gründen.;;;;;;;;;;;
empire_inca_title;An Empire of the Sun God;;;;;;;;;;;;;
empire_inca_desc;Thank Inti! Our brave armies have defeated the last foreigners and returned the control over our ancient lands to us. Now we should change the defense into charge! Let the Spanish taste the guns and cannons they tought us to make, let the unstoppable high-tide blow over their lands!;;;;;;;;;;;;;
