;;;;;;;;;;;;;;x                                          
DUA110.T;The United Republic;;;;;;;;;;;;;x  
DUA110.D;The end of the Dual-Monarchy has led to the call of a council to know the future that awaits the heirs of the Angevin legacy ....;;;;;;;;;;;;;x  
DUA111.T;The United Republic prevails ! ;;;;;;;;;;;;;x  
DUA111.D;Despite the threat of nationalism the people of the former Dual-Monarchy stand united ! ;;;;;;;;;;;;;x  
DUA112.D;With the politics slightly focused on Britain, the capital has been move to London. The Anglois lands will still be under our control but the French and Occitan lands will be put under the supervizion of sister republics.;;;;;;;;;;;;;x  
DUA112.T;The French and Occitan Republics;;;;;;;;;;;;;x  
DUA113.T;Dissolution of the United Republic;;;;;;;;;;;;;x  
DUA113.D;The Congress has ended and with it the legacy of the old monarchy. The old government has relocated to London, retaining the British islands, while the continental lands were divided between the new French and Occitan Republics...;;;;;;;;;;;;;x  
DUA114.T;Dissolution of the United Republic;;;;;;;;;;;;;x  
DUA114.D;The continental lands have been abandoned to the French and Occitan republics. Long live the English Republic !;;;;;;;;;;;;;x 
DUA120.T;The Congress of Paris;;;;;;;;;;;;;x   
DUA120.D;The United Republic has been proclaimed in the troubles following the Anglois policy. Now the representatives of all the former Crown lands have assembled. Will the Republic endure?;;;;;;;;;;;;;x  
DUA121.T;The United Republic endures!;;;;;;;;;;;;;x 
DUA121.D;The peoples of the United Republic have decided to continue to share the same state and agenda! Democracy succeeds where the Monarchy failed!;;;;;;;;;;;;;x 
DUA122.T;The 4 Republics;;;;;;;;;;;;;x  
DUA122.D;The United Republic and the Anglois dream are dead. Where one state existed, 4 nations have arised, 4 nations that could change the face of Europe...;;;;;;;;;;;;;x  
DUA123.T;Dissolution of the United Republic;;;;;;;;;;;;;x  
DUA123.D;Nationalism has dissolved our state... Long live the French republic!;;;;;;;;;;;;;x  
DUA124.T;Dissolution of the United Republic;;;;;;;;;;;;;x  
DUA124.D;The government has fled to Londres following the loss of some French lands. The United Republic is now dead, long live the English Republic!;;;;;;;;;;;;;x   
timurid_legacy_title;Legacy of Timur;;;;;;;;;;;;;x
timurid_legacy_desc;Kerman is the last territory held by the heirs of Timur in Persia. The Qajar and other vultures have challenged the claims of the rightful Shahanshah but now we have retaken Khuzestan from the Iraqis we can make them acknowledge our prominence !;;;;;;;;;;;;;x
EUR1.T;Young Scotland;;;;;;;;;;;;;x
EUR1.D;With the success of the English Revolution in the south the ideas of independence have spread in Scotland. The most important of the nationalist group, called 'Young Scotland' is led by the son of the famous Scottish writer Walter Scott. Walter Scott Jr has used the legacy of his father to improve his standing amongst the crowds and he is clearly an important agitator. We could ban him and his closest followers or let him act, with the risk of open Scottish rebellion ...;;;;;;;;;;;;;x
EUR2.T;The Young Scotland Committee ;;;;;;;;;;;;;x
EUR2.D;The Scottish nationalist leaders have been banned from Edinburgh and have found shelter in our glorious republic. Walter Scott Jr, the leader of the Young Scotland movement has asked the Parliament to give him weapons and officers to train inusrgents against the Nordic invaders. The Conservatives saw this as a waste of time and money but a Revolution on our Border could benefit us ...;;;;;;;;;;;;;x
EUR3.T;The Scottish Revolution !;;;;;;;;;;;;;x 
EUR3.D;Walter Scott and his fellow men have come back to Scotland and started an open insurrection !;;;;;;;;;;;;;x 
EUR4.T;Scottish Call to Arms !;;;;;;;;;;;;;x 
EUR4.D;The Scottish Republic has been proclaimed but they are under the threat of Scandinavia.;;;;;;;;;;;;;x 
EUR5.T;Liberty never dies !;;;;;;;;;;;;;x 
EUR5.D;Scotland has risen to break the chains of oppression and it is our duty to help them !;;;;;;;;;;;;;x  
EUR6.T;The reconquest of Scotland;;;;;;;;;;;;;x 
EUR6.D;Our armies are ready to march on Scotland and fight the revolutionaries. But will Scandinavia call to its allies ?;;;;;;;;;;;;;x 
savoy_cores_ITA_title;The Alpine passes;;;;;;;;;;;;;x
savoy_cores_ITA_desc;Now that Italy is unified, the question of the Alpine passes is resolved !;;;;;;;;;;;;;x
savoy_cores_OCC_title;The Alpes question;;;;;;;;;;;;;x
savoy_cores_OCC_desc;The Alpine passes are heavily disputed between Italian and Provencal populations. With our state in control of these we can erase the pretentions of the Italians over these territories;;;;;;;;;;;;;x
claim_OCC_title;Claiming Occitania;;;;;;;;;;;;;x 
claim_OCC_desc;With our control over Toulouse, we are clearly the masters of the Midi !;;;;;;;;;;;;;x 
annex_OCC_title;The Annexation of Occitania;;;;;;;;;;;;;x 
annex_OCC_desc;Occitania has always been closely associated with Northern France and the union of the two Republics can only be a benefit for the Revolution !;;;;;;;;;;;;;x
integrating_provencal_title;Integration of the Provencaux;;;;;;;;;;;;;x 
integrating_provencal_desc;Occitania is the part of our continental possessions that has always been the most difficult to control. But now we have eradicated the Valois threat and make efforts to integrate the minorities in our lands, we can make our rule accepted by the Provencaux !;;;;;;;;;;;;;x 
integrating_irish_title;The Kingdom of Ireland;;;;;;;;;;;;;x 
integrating_irish_desc;Our rule in Ireland has been quite complicated since the final submission of the Irish lords during the Nine Years War (1598-1607). The King of the Dual-Monarchy is the Lord of Ireland but Irish mostly reject this title. With our policy of accepting minorities, we could crown the King in Ireland making them an integral part of our state !;;;;;;;;;;;;;x 
integrate_scotland_desc;With our focus on the British islands, we should take advantage of the Scandinavian weakness by forcefully conquering the last lands in the British islands that do not belong to us !;;;;;;;;;;;;;x 
integrate_scotland_title;The Conquest of Scotland;;;;;;;;;;;;;x 
integrating_scottish_title;Integrating Scotland;;;;;;;;;;;;;x 
integrating_scottish_desc;The Conquest of Scotland is recent and we have a hard time proving to the locals that we are their rightful brethren. But with our dominance in Europe and the Anglois dream pushing in the Lowlands and Highlands it might be possible to eventually settle the situation in Scotland.;;;;;;;;;;;;;x 
integrating_basque_title;Integration of the Basques;;;;;;;;;;;;;x 
integrating_basque_desc;With the Dual-Monarchy ending up winner in the Navarran Succession War we can collaborate with the Basque people and make them an integral part of the realm.;;;;;;;;;;;;;x 
anglois_language_schooling_title;Anglois education;;;;;;;;;;;;;x 
anglois_language_schooling_desc;Education is becoming a rather central subject in Anglois politics. All politics except the most conservative are in favor of standardizing education, making it free and open to all children, to make them future responsible citizens. The main problem of this law is that the question of languages has not been settled yet.;;;;;;;;;;;;;x 
DUA130.T;Anglois education;;;;;;;;;;;;;x 
DUA130.D;Two camps oppose in the question of education. First, the "Federalists" want to allow our accepted minorities to continue to use their language in school along with the standardized language of Paris. The "Unionists" want to affirm one language to strenghten the state around one people, speaking one language. Our decision will not only affect education and the removal of the local dialects in school will mean their slow disappearance of the Anglois society. ;;;;;;;;;;;;;x
organize_christiania_title;Organize Christiania;;;;;;;;;;;;;x,,,,,,,,,,,,,
organize_christiania_desc;Our colonies in the East Indies are becoming a true part of the country. We must create the proper structures, so that they stand on par with our other national states.;;;;;;;;;;;;;x,,,,,,,,,,,, 
sons_of_harold;The Sons of Harold;;;;;;;;;;;;;x,,,,,,,,,,,,, 
sons_of_harold_desc;Firebrands are arguing the cause of English nationalism;;;;;;;;;;;;;x,,,,,,,,,,,,, 
sons_of_louis;The Sons of St-Louis;;;;;;;;;;;;;x,,,,,,,,,,,,, 
sons_of_louis_desc;Firebrands are arguing the cause of French nationalism;;;;;;;;;;;;;x,,,,,,,,,,,,, 
french_cultural_unity;Anglois Cultural Unity;;;;;;;;;;;;x,,,,,,,,,,,,,
french_cultural_unity_desc;New schooling policies are slowly assimilating patois-speaking Anglois.;;;;;;;;;;;;x,,,,,,,,,,,,,
anglois_dilemma;The Anglois Dilemma.;;;;;;;;;;;;x,,,,,,,,,,,,,
anglois_dilemma_desc;Our policies of integration are provoking troubles across the country.;;;;;;;;;;;;x,,,,,,,,,,,,,
revolution_aftermath;Aftermath of the Revolution;;;;;;;;;;;;x,,,,,,,,,,,,,
revolution_aftermath_desc;The Reoccupation of the country is harsh and many cities lie in ruins after the fightings;;;;;;;;;;;;x,,,,,,,,,,,,,
beornia_english;Beornian haven;;;;;;;;;;;;x,,,,,,,,,,,,,
beornia_english_desc;Following the Glorious Revolution the Beornian lands have seen an influx of English immigrants;;;;;;;;;;;;x,,,,,,,,,,,,,
etrurian_agitation;Etrurian agents;;;;;;;;;;;;x,,,,,,,,,,,,,
etrurian_agitation_desc;Etrurian agents are propagating their ideas in our state;;;;;;;;;;;;x,,,,,,,,,,,,,
organize_new_zealand_title;Organize New-Zealand;;;;;;;;;;;;x,,,,,,,,,,,,,
organize_new_zealand_desc;Our colonies in the Maori Islands are becoming a true part of the country. We must create the proper structures, so that they stand on par with our other national states.;;;;;;;;;;;;x,,,,,,,,,,,,
reorganize_new_zealand_title;Reorganize New-Zealand;;;;;;;;;;;;x,,,,,,,,,,,,,
reorganize_new_zealand_desc;We have taken the Maori islands and we can now reorganize the old colony of New-Zealand;;;;;;;;;;;;x,,,,,,,,,,,,,
accept_maoris_title;Accepting the Maoris;;;;;;;;;;;;x,,,,,,,,,,,,,
accept_maoris_desc;The New-Zealand colony is recent and the Maori tribes still represent a large part of our population. instead of oppressing them we should guarantee the rights given by the treaty of Waitangi to better integrate them into our social fabric.;;;;;;;;;;;;x,,,,,,,,,,,,,
TUS_setupT;The political situation in Etruria;;;;;;;;;;;;x,,,,,,,,,,,,,
TUS_setupD;Etruria is the last remaining republic born during the German Revolution. The revolutionaries expelled the Valois-Medici and created sister republics all throughout the peninsula but were forced to negotiate peace and leave the Reaction take over the new Republics. Italy is now as divided as before the Revolution and Etruria is no longer perceived as the hegemon of Italy. Internally, the Priors, whose main base in Florence are the Uffizi and the Piaza Dei Priori, hence their name, rule now again the republic but they are challenged on their left by the Carmagnolesi, the hardcore revolutionaries. On their right the Peasants do not want the Revolution to go further and the Compromisers want Peace in Italy. Some Provenzale supporters still dream of the return of the Valois-Medici but forces of Reaction are weak. If Etruria can surpass petty political rivalries then maybe they'll be able to unify Italy and threaten the old European Order!;;;;;;;;;;;;x,,,,,,,,,,,,,
ETR1.T;The Carbonari;;;;;;;;;;;;x,,,,,,,,,,,,, 
ETR1.D;The Counter-revolution may have won in Italy because of superior numbers but the spirit of the Revolution still lives on. Many leaders of the sister republics have fled to Etruria and the carbonari circles number great officials of the reactionary states. With liberalism ideas spreading once again we could activate the Carbonari cells all over Italy to spread the Revolution but then we need to be sure of holding back the forces of reaction... ;;;;;;;;;;;;x,,,,,,,,,,,,,
ETR2.T;Carbonari uprising;;;;;;;;;;;;x,,,,,,,,,,,,,
ETR2.D;The Etrurians are once again causing trouble in Italy... The supporters of the liberal ideas who are members of the carbonari secret society have used their influence in the government and the military to cause problems!;;;;;;;;;;;;x,,,,,,,,,,,,,
ETR3.T;Etrurian agitation spreads;;;;;;;;;;;;x,,,,,,,,,,,,,
ETR3.D;The supporters of united Italy have spread their ideas in this province!;;;;;;;;;;;;x,,,,,,,,,,,,,
ETR4.T;Sending an embassy to Florence;;;;;;;;;;;;x,,,,,,,,,,,,, 
ETR4.D;With the new liberal government having taken control of our country we should send an embassy to the heart of the Revolution to protect us from the reactionary forces!;;;;;;;;;;;;x,,,,,,,,,,,,, 
ETR5.T;$FROMCOUNTRY_ADJ$ Embassy;;;;;;;;;;;;x,,,,,,,,,,,,, 
